epoch: 18500 to 50000, average reward: 4.85, average steps: 43.26, exploration: 0.62798
epoch: 18600 to 50000, average reward: 4.62, average steps: 41.92, exploration: 0.62598
epoch: 18700 to 50000, average reward: 3.85, average steps: 39.86, exploration: 0.62398
epoch: 18800 to 50000, average reward: 4.75, average steps: 43.24, exploration: 0.62198
epoch: 18900 to 50000, average reward: 4.96, average steps: 43.58, exploration: 0.61998
epoch: 19000 to 50000, average reward: 4.75, average steps: 46.53, exploration: 0.61798
epoch: 19100 to 50000, average reward: 3.84, average steps: 45.98, exploration: 0.61598
epoch: 19200 to 50000, average reward: 4.13, average steps: 45.9, exploration: 0.61398
epoch: 19300 to 50000, average reward: 4.96, average steps: 43.69, exploration: 0.61198
epoch: 19400 to 50000, average reward: 4.14, average steps: 42.78, exploration: 0.60998
epoch: 19500 to 50000, average reward: 3.41, average steps: 38.03, exploration: 0.60798
epoch: 19600 to 50000, average reward: 5.12, average steps: 42.23, exploration: 0.60598
epoch: 19700 to 50000, average reward: 4.04, average steps: 42.7, exploration: 0.60398
epoch: 19800 to 50000, average reward: 4.57, average steps: 43.58, exploration: 0.60198
epoch: 19900 to 50000, average reward: 4.62, average steps: 41.86, exploration: 0.59998
epoch: 20000 to 50000, average reward: 4.79, average steps: 44.63, exploration: 0.59798
